2020-07-16 15:15:54 status unpacked libip4tc0:amd64 1.8.2-4
2020-07-16 15:15:54 status half-configured libip4tc0:amd64 1.8.2-4
2020-07-16 15:15:54 status installed libip4tc0:amd64 1.8.2-4
2020-07-16 15:15:54 configure libkmod2:amd64 26-1 <none>
2020-07-16 15:15:54 status unpacked libkmod2:amd64 26-1
2020-07-16 15:15:54 status half-configured libkmod2:amd64 26-1
2020-07-16 15:15:55 status installed libkmod2:amd64 26-1
2020-07-16 15:15:55 configure libdevmapper1.02.1:amd64 2:1.02.155-3 <none>
2020-07-16 15:15:55 status unpacked libdevmapper1.02.1:amd64 2:1.02.155-3
2020-07-16 15:15:55 status half-configured libdevmapper1.02.1:amd64 2:1.02.155-3
2020-07-16 15:15:55 status installed libdevmapper1.02.1:amd64 2:1.02.155-3
2020-07-16 15:15:55 configure libcryptsetup12:amd64 2:2.1.0-5+deb10u2 <none>
2020-07-16 15:15:55 status unpacked libcryptsetup12:amd64 2:2.1.0-5+deb10u2
2020-07-16 15:15:55 status half-configured libcryptsetup12:amd64 2:2.1.0-5+deb10u2
2020-07-16 15:15:55 status installed libcryptsetup12:amd64 2:2.1.0-5+deb10u2
2020-07-16 15:15:55 configure systemd:amd64 241-7~deb10u4 <none>
2020-07-16 15:15:55 status unpacked systemd:amd64 241-7~deb10u4
2020-07-16 15:15:55 status half-configured systemd:amd64 241-7~deb10u4
2020-07-16 15:15:55 status installed systemd:amd64 241-7~deb10u4
2020-07-16 15:15:55 configure dmsetup:amd64 2:1.02.155-3 <none>
2020-07-16 15:15:55 status unpacked dmsetup:amd64 2:1.02.155-3
2020-07-16 15:15:55 status half-configured dmsetup:amd64 2:1.02.155-3
2020-07-16 15:15:55 status installed dmsetup:amd64 2:1.02.155-3
2020-07-16 15:15:55 startup archives unpack
2020-07-16 15:15:55 install systemd-sysv:amd64 <none> 241-7~deb10u4
2020-07-16 15:15:55 status half-installed systemd-sysv:amd64 241-7~deb10u4
